,id,text
0,1353023993213825025,gençlerbirliğindeki piris penaltı ile gol kralı olacak
1,1353011832668221442,"RT @fanatikcomtr: Süper Lig'in 21. haftasında Trabzonspor deplasmanda Gençlerbirliği'ni 2-1'lik skorla yendi. 

⚽️36' Djaniny
⚽️54' Ekuban…"
2,1353011227404992513,"Süper Lig'in 21. hafta maçında Trabzonspor, deplasmanda Gençlerbirliği'ni 2-1 mağlup etti.

⚽️ 36' Djaniny
⚽️ 54' E… https://t.co/7zdQ3ve4v3"
3,1353007861064990720,"RT @TransferMerkez: Trabzonspor, Gençlerbirliği'ni 2-1 mağlup ederek çıkışını sürdürdü ve 33 puanla 5. sıraya yükseldi!

⚽36' Djaniny
⚽54'…"
4,1353007686732951553,"RT @TransferMerkez: Gençlerbirliği 1-2 Trabzonspor

86.' Robert Piris (Pen.)"
5,1353002072480870400,"Maç sonucu : Gençlerbirliği 1 - 2 Trabzonspor

⚽ 36' Jorge Djaniny (0 - 1) 
⚽ 54' Caleb Ekuban (0 - 2)
/⚽ 86' Rober… https://t.co/Z1SoxQW8Qk"
6,1353001935742377985,şaka maka bi yana böyle giderse biz küme düşerken piris gol kralı olacak
7,1353001522435649536,"RT @KramponSport: MS | Gençlerbirliği 1-2 Trabzonspor

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86' Piris (P)"
8,1353001516404244483,"RT @buzzspor: Maç sonucu: Gençlerbirliği 1-2 Trabzonspor

⚽️ 36' Djaniny
⚽️ 54' Ekuban
⚽️ 86' Piris(P')

⚡Toplam şut: 13(2) / 14(8)
⚡Topla…"
9,1353001351584870400,Djanny ya nin elindeki en iyi santrafor zaman aldı ama yerine oturdu güzel gol attı hakem icin fazla söze gerek yok… https://t.co/97j8N7LBQ0
10,1353001303287468033,"RT @PanenkaSport: Trabzonspor, Süper Lig'in 21. haftasında deplasmanda Gençlerbirliği'ni 2-1 mağlup etti. 

⚽36' Djaniny
⚽54' Ekuban
⚽86' P…"
11,1353000921630969861,"Trabzonspor Gençlerbirliği deplasmanından 2-1 galip ayrıldı.

⚽36' Djaniny
⚽54' Ekuban
⚽85' Piris (P)

— Son 4 maçı… https://t.co/UQbAWS2ju3"
12,1352999789839978497,"RT @fanatikcomtr: Süper Lig'in 21. haftasında Trabzonspor deplasmanda Gençlerbirliği'ni 2-1'lik skorla yendi. 

⚽️36' Djaniny
⚽️54' Ekuban…"
13,1352998114307796992,"Süper Lig'in 21. haftasında Trabzonspor, Gençlerbirliği'ni deplasmanda 2-1'lik skorla yendi.

⚽️36' Djaniny
⚽️54' E… https://t.co/AfnfAwdVhD"
14,1352997376462643201,"Trabzonspor, Süper Lig'in 21. haftasında deplasmanda Gençlerbirliği'ni 2-1 mağlup etti. 

⚽36' Djaniny
⚽54' Ekuban… https://t.co/Erq8c5YkI4"
15,1352997309869649922,Süper Lig'in 21'inci haftasında Gençlerbirliği sahasında Trabzonspor'u konuk etti. Karşılaşmayı bordo-mavililer 2-1… https://t.co/zfGkxCsVuD
16,1352996816233627648,"Gençlerbirliği - Trabzonspor: 1-2

Süper Lig'de çıkışa geçen Trabzonspor, Gençlerbirliği'ni Djaniny ve Caleb Ekuban… https://t.co/53Z519zzxi"
17,1352996791856332802,"MS|Gençlerbirliği 1-2 Trabzonspor

⚽36' Djaniny
⚽54' C. Ekuban
⚽86' R. Piris (P) https://t.co/tHqOxCbk0z"
18,1352996753641975808,"RT @Piabettv: Maç sonucu | Gençlerbirliği 1-2 Trabzonspor

⚽36' Djaniny
⚽54' Ekuban
⚽86' Piris(P)"
19,1352996666551500800,GOL! Trabzonspor Nwakaeme’nin müthiş asistinde Ekuban ile farkı 2’ye çıkardı.   Nwakaeme sağdaki Ekuban’ı gördü cez… https://t.co/MBU8QOZQlg
20,1352996612944093192,"Süper Lig'in 21. haftasında Trabzonspor, Gençlerbirliği'ni deplasmanda 2-1'lik skorla devirdi.

⚽️36' Djaniny
⚽️54' Ekuban

⚽️85' Piris (p)"
21,1352996563094798337,"@kirmizikara O penaltıyı ne silik Piris ne de paracı Stancu 'nun olamamalıydı, altyapıdan forvetimiz var ve onu hır… https://t.co/ry24R5z6yu"
22,1352996103021596674,RT @futbolarena: GOL! Gençlerbirliği 1-2 Trabzonspor (86' Robert Piris / P) https://t.co/VzOKULbVq8
23,1352996076169687046,"RT @trtspor: ⚽86' R. Piris (P)

⚽36' Djaniny
⚽54' Ekuban

🆚Trabzonspor, Süper Lig'in 21. haftasında deplasmanda Gençlerbirliği'ni 2-1 mağlu…"
